21.07.2023                                                                                                                    Salida dinámica de lista                                                                                                                                                                          1

21.07.2023			                                                                                                                                    LISTADO DE PEDIDOS CON DATOS DE JERARQUÍA																									  1

LISTADO DE PEDIDOS CON DATOS DE JERARQUÍA

		Fecha doc.		Solicitante	Cliente	Nº de cliente 1	Marca	Material	Número de material	  Unidades	UM	    ValorNeto	Nº pedido cliente	Doc.venta	ClVt	Solic.	OrgVt	CDis	OfVta	GVen	Organización de ventas	Mon.	Jquía.productos	Total Pedidos	Plataforma	Fe.PedCpas	Creado por
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Max Factor	PB0074055	RUBOR COLORFAST DUO MF ROMANTIC DREAMS	        1	UN	      20,504	0085782604	903156655	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001005033001002009	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Max Factor	PB0074056	RUBOR COLORFAST DUO MF NATURAL BEAUTY	        1	UN	      20,504	0085782604	903156655	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001005033001002009	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0067970	VITU BRILLO KARITÉ 05 MOCA	        1	UN	       8,000	0085782604	903156655	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001003012	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Max Factor	1006740000	PROM PESTAÑINA LASH MAKER NEG + DESMAQ	        1	UN	      26,824	0085782604	903156655	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001005033001001001	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0066853	REMOVEDOR VITU UÑAS 95ML	        1	UN	       7,059	0085782604	903156678	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001004128	           1	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0084865	BASE ENDURECED VITÚ FREE 8ML	        1	UN	       2,823	0085782604	903156678	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001004013	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0069317	CORRECTOR VITÚ COLÁGENO SOYA  4 CASTAÑA	        3	UN	      31,263	0085782604	903156678	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001002007	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0069736	CORRECTOR VITÚ COLÁGENO SOYA 3.5 NUEZ	        1	UN	      10,421	0085782604	903156678	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001002007	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0068845	VITU POLVO SABILA 1 MACAD U EMP NI	        1	UN	       6,654	0085782604	903156678	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001002006	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0068846	VITU POLVO SABILA 2 AVELL U EMP NI	        1	UN	       6,654	0085782604	903156678	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001002006	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0068847	VITU POLVO SABILA 3 NUEZ U EMP NI	        1	UN	       6,654	0085782604	903156678	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001002006	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0084840	PLVO VITÚ CALEND. ESPE. TONO 2 AVELL.12G	        1	UN	       7,994	0085782604	903156678	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001002006	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0035789	VITU RUBOR VITAMINA E 1 FRUTOS ROJOS TRA	        1	UN	       5,311	0085782604	903156678	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001002009	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0053046	PESTAÑINA VITU SABILA	        1	UN	       7,326	0085782604	903156678	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001001001	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0073661	VITÚ LÁPIZ OJOS VITE 1 NEGRO 1,3G	        1	UN	       7,058	0085782604	903156678	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001001004	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0073662	VITÚ LÁPIZ OJOS VIT E 2 CAFÉ 1,3G	        1	UN	       7,058	0085782604	903156678	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001001004	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0073663	VITÚ LAP CEJAS VIT E 1 COCOA 1,3G	        1	UN	       7,058	0085782604	903156678	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001001003	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0073664	VITÚ LAP CEJAS VIT E 2 MOCCA 1,3G	        2	UN	      14,116	0085782604	903156678	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001001003	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0037228	VITÚ BRILLO MANT KARITÉ 1 ARÁNDANO NI	        1	UN	       8,000	0085782604	903156678	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001003012	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0088954	VITÚ BÁLSAMOS SÁBILA 4 FRAMBUESA 4G	        1	UN	       5,040	0085782604	903156678	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001003	           0	ALMACENES EXITO SA	19.07.2023	JOBS
